module	ordinal	declaration
ArchimedesSpin	27	vertex_twelve_neg_one
BaseGeneral	1	digitalRootBase
BaseGeneral	2	trinityBase
BaseGeneral	3	digitalRootBase_of_pos
BaseGeneral	4	digitalRootBase_pos
BaseGeneral	5	digitalRootBase_le
BaseGeneral	6	digitalRootBase_modEq
BaseGeneral	7	sub_one_modEq
BaseGeneral	8	digitalRootBase_congr
BaseGeneral	9	digitalRootBase_digitsSum
BaseGeneral	10	dvd_digitalRootBase_iff
BaseGeneral	11	mem_trinityBase_iff_of_pos
BaseGeneral	12	mem_trinityBase_iff
BaseGeneral	13	trinityBase_ten
BaseGeneral	14	card_trinityBase
BaseGeneral	15	exists_trinity_card_three_iff
BaseGeneral	16	base_ten_least_odd_prime_trinity
BaseGeneral	17	digitalRootBase_add
BaseGeneral	18	digitalRootBase_mul
BaseGeneral	19	digitalRoot_add
BaseGeneral	20	digitalRoot_mul
BaseGeneral	21	digitalRoot_cast
BaseGeneral	22	digitalRootBase_pow_period
BaseGeneral	23	digitalRootBase_pow_notMem_trinityBase
BaseGeneral	24	vortexOrbit
BaseGeneral	25	vortexOrbit_zero
BaseGeneral	26	vortexOrbit_three
BaseGeneral	27	vortexOrbit_one
BaseGeneral	28	vortex_orbits_partition
BaseGeneral	29	vortexOrbit_eq
BaseGeneral	30	vortex_orbit_cards
BaseGeneral	31	vortexOrbit_one_eq_units
DeltaGraph	1	mulOneSub
DeltaGraph	2	deltaCoeffs
DeltaGraph	3	tau
DeltaGraph	4	tau_table
DeltaGraph	5	tau_one
DeltaGraph	6	tau_two
DeltaGraph	7	tau_three
DeltaGraph	8	tau_four
DeltaGraph	9	tau_six
DeltaGraph	10	tau_nine
DeltaGraph	11	tau_twelve
DeltaGraph	12	tau_twentyseven
DeltaGraph	13	tau_word_values
DeltaGraph	14	tau_ramanujan_bound
DeltaGraph	15	sigma7
DeltaGraph	16	sigma1
DeltaGraph	17	tau_congr_mod_27
DeltaGraph	18	three_dvd_tau_iff_three_dvd_sigma
DeltaGraph	19	digitalRoot_natAbs_mem_trinity_iff
DeltaGraph	20	digitalRoot_tau_table
DeltaGraph	21	qParam_add_one
DeltaGraph	22	deltaApprox_periodic
DeltaGraph	23	abs_qParam
DeltaGraph	24	abs_qParam_lt_one
DeltaModular	1	Delta
DeltaModular	2	ne_zero_of_mem
DeltaModular	3	neg_inv_mem
DeltaModular	4	isPreconnected_upperHalfPlaneSet
DeltaModular	5	coe_S_smul
DeltaModular	6	Delta_ne_zero
DeltaModular	7	differentiableAt_Delta
DeltaModular	8	differentiableOn_Delta
DeltaModular	9	logDeriv_Delta
DeltaModular	10	G2_S
DeltaModular	11	E2_eq_G2
DeltaModular	12	E2_S_transform
DeltaModular	13	logDeriv_Delta_comp
DeltaModular	14	logDeriv_weight
DeltaModular	15	Delta_neg_inv
DeltaModular	16	Delta_neg_inv'
DeltaModular	17	qParam_one_add_one
DeltaModular	18	eta_add_one
DeltaModular	19	Delta_add_one
DeltaModular	20	DeltaH
DeltaModular	21	DeltaH_S
DeltaModular	22	DeltaH_T
DeltaModular	23	DeltaH_slash
DeltaModular	24	multipliable_eta
DeltaModular	25	qParam_conj
DeltaModular	26	eta_neg_conj
DeltaModular	27	Delta_neg_conj
DeltaModular	28	Delta_inv_conj
DeltaModular	29	norm_Delta_inv_conj
DeltaModular	30	Delta_arc
DeltaModular	31	Delta_arc_phase
DeltaWordGraphs	1	tauTable
DeltaWordGraphs	2	tauTable_eq_deltaCoeffs
DeltaWordGraphs	3	tauT
DeltaWordGraphs	4	tauT_table
DeltaWordGraphs	5	tauT_eq_tau
DeltaWordGraphs	6	heckeCoeff
DeltaWordGraphs	7	wordT2
DeltaWordGraphs	8	wordT3
DeltaWordGraphs	9	wordT2T3
DeltaWordGraphs	10	wordT2T3T2
DeltaWordGraphs	11	wordT3T3T3
DeltaWordGraphs	12	wordT2_eq
DeltaWordGraphs	13	wordT3_eq
DeltaWordGraphs	14	wordT2T3_eq
DeltaWordGraphs	15	wordT2T3T2_eq
DeltaWordGraphs	16	wordT3T3T3_eq
DeltaWordGraphs	17	word_multipliers
DeltaWordGraphs	18	word_abs_multipliers_strictMono
DeltaWordGraphs	19	word_coeffs_three_dvd
DeltaWordGraphs	20	coeff_mem_trinity
DeltaWordGraphs	21	word_coeffs_mem_trinity
DeltaWordGraphs	22	heckeApprox_tau
DeltaWordGraphs	23	heckeApprox_periodic
DeltaWordGraphs	24	heckeApprox_eq_smul
DeltaWordGraphs	25	heckeApprox_wordT2
DeltaWordGraphs	26	heckeApprox_wordT3
DeltaWordGraphs	27	heckeApprox_wordT2T3
DeltaWordGraphs	28	heckeApprox_wordT2T3T2
DeltaWordGraphs	29	heckeApprox_wordT3T3T3
DeltaWordGraphs	30	heckeApprox_norm
DeltaWordGraphs	31	log_norm_heckeApprox
DeltaWordGraphs	32	heckeApprox_neg_phase
FibVortex	1	fib_add_24_modEq
FibVortex	2	digitalRoot_fib_period_24
FibVortex	3	digitalRoot_fib_cycle
FibVortex	4	digitalRoot_fib_period_24_minimal
FibVortex	5	three_dvd_fib_iff
FibVortex	6	digitalRoot_fib_mem_trinity_iff
FibVortex	7	digitalRoot_fib_cycle_sum
Hecke23	1	HeckeSystem
Hecke23	2	eq_on_prime_pow
Hecke23	3	eq_on_smooth
Hecke23	4	Smooth3
Hecke23	5	eq_on_Smooth3
Hecke23	6	a_six
Hecke23	7	a_four
Hecke23	8	a_nine
Hecke23	9	heckeSystem_cardDivisors
Hecke23	10	trinity_smooth
HeckeGeneral	1	Smooth
HeckeGeneral	2	eq_of_primeFactors_subset
HeckeGeneral	3	eq_on_Smooth
HeckeGeneral	4	eq_of_eq_on_primes
HeckeGeneral	5	eq_on_le_of_eq_on_primes_le
HeckeGeneral	6	exists_separating_bound
HeckeGeneral	7	a_zero_undetermined
HeckeGeneral	8	Smooth3_eq
HeckeWords	1	wordEigenvalue
HeckeWords	2	a_twelve
HeckeWords	3	a_twentyseven
HeckeWords	4	eigen_word_two
HeckeWords	5	eigen_word_three
HeckeWords	6	eigen_word_two_three
HeckeWords	7	eigen_word_two_three_two
HeckeWords	8	eigen_word_three_three_three
HeckeWords	9	hmul_T_T
HeckeWords	10	hmul_single_T
HeckeWords	11	hmul_add_left
HeckeWords	12	smul_T
HeckeWords	13	hmul_two_three
HeckeWords	14	hmul_two_three_two
HeckeWords	15	hmul_three_three
HeckeWords	16	hmul_three_three_three
HeckeWords	17	evalT_add
HeckeWords	18	evalT_word_two_three
HeckeWords	19	evalT_word_two_three_two
HeckeWords	20	evalT_word_three_three_three
HeckeWords	21	eigen_polynomial_two
HeckeWords	22	eigen_polynomial_three
HeckeWords	23	eigen_polynomial_two_three
HeckeWords	24	eigen_polynomial_two_three_two
HeckeWords	25	eigen_polynomial_three_three_three
HeckeWords	26	delta_values
Sieve23	1	sieved
Sieve23	2	survivors
Sieve23	3	sieved_eq
Sieve23	4	survivors_eq
Sieve23	5	sieved_card
Sieve23	6	survivors_card
Sieve23	7	dvd_two_or_three_iff
Sieve23	8	card_sieved_range
Sieve23	9	prime_mod_six
Sieve23	10	totient_six
Sieve23	11	survivors_symmetric
Sieve23	12	prime_digitalRoot
SieveGeneral	1	modulus
SieveGeneral	2	Sieved
SieveGeneral	3	card_filter_range_of_periodic
SieveGeneral	4	dvd_modulus
SieveGeneral	5	sieved_periodic
SieveGeneral	6	not_sieved_iff_coprime
SieveGeneral	7	card_survivors_period
SieveGeneral	8	modulus_pos
SieveGeneral	9	totient_modulus
SieveGeneral	10	card_survivors_range
SieveGeneral	11	card_sieved_range
SieveGeneral	12	density_sieved
SieveGeneral	13	two_three
T2vsT3	1	t2_eq
T2vsT3	2	t3_eq
T2vsT3	3	tauT_ne_zero
T2vsT3	4	wordT2_ne_zero
T2vsT3	5	wordT3_ne_zero
T2vsT3	6	prodT
T2vsT3	7	diffT
T2vsT3	8	ratioT
T2vsT3	9	quotT
T2vsT3	10	powT
T2vsT3	11	modT
T2vsT3	12	prodT_eq
T2vsT3	13	prodT_eq_tau_six
T2vsT3	14	prodT_neg
T2vsT3	15	diffT_eq
T2vsT3	16	diffT_ne_zero
T2vsT3	17	ratioT_eq
T2vsT3	18	abs_ratio_21_2
T2vsT3	19	modT_eq
T2vsT3	20	modT_nonneg
T2vsT3	21	modT_lt
T2vsT3	22	modT_ne_zero
T2vsT3	23	quotT_eq
T2vsT3	24	powT_pos
T2vsT3	25	three_pow_dvd_powT
T2vsT3	26	powT_one
T2vsT3	27	three_dvd_prodT
T2vsT3	28	three_dvd_diffT
T2vsT3	29	three_dvd_modT
T2vsT3	30	prodT_mem_trinity
T2vsT3	31	diffT_mem_trinity
T2vsT3	32	modT_mem_trinity
T2vsT3	33	quotT_notMem_trinity
T2vsT3	34	comparison_table
T2vsT3Delta	1	cApprox_int
T2vsT3Delta	2	cApprox_tau
T2vsT3Delta	3	cApprox_periodic
T2vsT3Delta	4	cApprox_congr
T2vsT3Delta	5	cApprox_smul
T2vsT3Delta	6	cApprox_add
T2vsT3Delta	7	panelA_T2
T2vsT3Delta	8	panelA_T3
T2vsT3Delta	9	panelA_antiparallel
T2vsT3Delta	10	tauSqT
T2vsT3Delta	11	panelB_eq
T2vsT3Delta	12	panelB_coeffs_neg
T2vsT3Delta	13	prodT_not_smul_tau
T2vsT3Delta	14	diffT_smul_tau
T2vsT3Delta	15	panelC_eq
T2vsT3Delta	16	panelC_sub
T2vsT3Delta	17	posMaskT
T2vsT3Delta	18	panelD_rat
T2vsT3Delta	19	panelD_int
T2vsT3Delta	20	quotT_not_smul_tau
T2vsT3Delta	21	log_powT
T2vsT3Delta	22	powLogCoeff_eq
T2vsT3Delta	23	powLogCoeff_pos
T2vsT3Delta	24	tauPosT
T2vsT3Delta	25	tauNegT
T2vsT3Delta	26	tauPosT_add_tauNegT
T2vsT3Delta	27	modT_split
T2vsT3Delta	28	panelF_halves
T2vsT3Delta	29	panelF_eq
T2vsT3Delta	30	modT_not_smul_tau
T2vsT3Delta	31	panels_smul_or_not
Tesla369	1	digitalRoot
Tesla369	2	trinity
Tesla369	3	digitalRoot_of_pos
Tesla369	4	digitalRoot_pos
Tesla369	5	digitalRoot_le_nine
Tesla369	6	digitalRoot_modEq
Tesla369	7	digitalRoot_congr
Tesla369	8	digitalRoot_idem
Tesla369	9	digitalRoot_digitsSum
Tesla369	10	digitalRoot_of_le_nine
Tesla369	11	digitsSum_lt_self
Tesla369	12	repeatedDigitSum
Tesla369	13	repeatedDigitSum_eq_digitalRoot
Tesla369	14	digitalRoot_mem_range
Tesla369	15	digitalRoot_mem_trinity_iff
Tesla369	16	trinity_add
Tesla369	17	trinity_mul
Tesla369	18	digitalRoot_two_pow_period_six
Tesla369	19	digitalRoot_two_pow_notMem_trinity
Tesla369	20	digitalRoot_two_pow_values
Tesla369	21	digitalRoot_three_pow
Tesla369	22	trinity_doubling
Tesla369	23	trinity_generates_nat
Tesla369	24	trinity_generates
Tesla369	25	three_generates
Tesla369	26	six_nine_generates
Tesla369	27	trinity_zmod
Tesla369	28	trinity_residues
Tesla369	29	digitalRoot_two_pow_period_six_minimal
VerticalWalls	1	F
VerticalWalls	2	Fr
VerticalWalls	3	deltaApprox_eq_F
VerticalWalls	4	F_ofReal
VerticalWalls	5	qParam_neg_conj
VerticalWalls	6	qParam_int_add
VerticalWalls	7	F_neg_conj
VerticalWalls	8	F_int_add
VerticalWalls	9	F_mirror
VerticalWalls	10	mirror_fixed_iff
VerticalWalls	11	qParam_im_eq_zero_iff
VerticalWalls	12	wallPt
VerticalWalls	13	qParam_wall
VerticalWalls	14	F_wall_ofReal
VerticalWalls	15	F_wall_im
VerticalWalls	16	arg_F_wall
VerticalWalls	17	arg_F_wall_eq_zero_iff
VerticalWalls	18	arg_F_wall_eq_pi_iff
VerticalWalls	19	continuous_F_wall_re
VerticalWalls	20	phase_locked_of_ne_zero
VerticalWalls	21	F_mirror_slice
VerticalWalls	22	norm_F_mirror_slice
VerticalWalls	23	sqAbs
VerticalWalls	24	sqAbs_mirror
VerticalWalls	25	sqAbs_wall
VerticalWalls	26	differentiable_F
VerticalWalls	27	differentiable_slice
VerticalWalls	28	differentiable_sqAbs
VerticalWalls	29	deriv_eq_zero_of_mirror
VerticalWalls	30	deriv_sqAbs_wall
VerticalWalls	31	deriv_norm_wall
VerticalWalls	32	sqAbs2
VerticalWalls	33	differentiable_sqAbs2
VerticalWalls	34	fderiv_sqAbs2_wall_horizontal
VerticalWalls	35	grad_sqAbs2_wall_vertical
VerticalWalls	36	contour_tangent_horizontal
VerticalWalls	37	contour_perp_wall
VerticalWalls	38	abs_Fr_sub_lead_le
VerticalWalls	39	abs_tau_le
VerticalWalls	40	tau_one
VerticalWalls	41	exp_le_of_five_le
VerticalWalls	42	deltaApprox_wall_re
VerticalWalls	43	deltaApprox_wall_pos
VerticalWalls	44	deltaApprox_wall_neg
VerticalWalls	45	arg_deltaApprox_wall_even
VerticalWalls	46	arg_deltaApprox_wall_odd
